NAME,POPOS_ADDRESS,HOURS,TYPE,LANDSCAPING,SEATING_No,FOOD_SERVICE,Art,RESTROOMS,Accessibility,LOCATION,YEAR,SOURCE,Food,Seating,Description,Seating_and_Tables,Hours_Type,Subject_To_Downtown_PLN,Signage,Amenities,BLOCK_NUM,LOT_NUM,PARCEL_NUM,Restroom,Indoor,Special_Amenities,Map ID,latitude,longitude,point
77 Beale St,77 Beale St,Open at all times,Plaza,"20+ planter trees, open planters, waterfall feature","200+ linear feet of planter seating, varying heights",No,No,No,Direct,,1970,,,Y,Plaza with high planters that provide some landscaping but no seating.,,Open At All Times,No,None,,3711,013,3711013,,,,,37.79173693,-122.39622554,POINT (-122.39622554 37.79173693)
555 California St,555 California St,Open at all times,Urban Garden,"Tall grasses and shrubs, central pool surrounded by plants.",Yes- 24 small wooden bench seats located at elevated plaza's eastern edge.,No,No,No,Direct,Located at the elevated plaza along California Street.,1969,,,Y,,,Open At All Times,No,None,,0259,026,0259026,true,,,,37.7924598,-122.40395114,POINT (-122.40395114 37.7924598)
1 Post St,1 Post St,,Snippet,,,,,,,,1969,,,,Snippets surrounding the hexagonal fence of Montgomery Bart Station sunken plaza. This space include concrete steps with some planter boxes.,,Open At All Times,No,,,0259,026,0259026,,,,,37.78862256,-122.40264635,POINT (-122.40264635 37.78862256)
50 Beale St,50 Beale St,Open at all times,Plaza,"30+ trees, large open planters, attracts birds",40 bench seats; 100+ linear feet of planter seating,No,No,No,Less direct,,1968,,,Y,Large well landscaped plaza with many seating options.,,Open At All Times,No,None,,3710,018,3710018,,,,,37.79160342,-122.39691639,POINT (-122.39691639 37.79160342)
555/557 Market St,555/557 Market St,Open at all times,Urban Garden,"Diverse plants, grasses, and water feature.",No Seating,No,No,Yes,Direct,,1965,,,,"Extensive landscaping combined with water features signify this space between two high rises. Seating,however, is only availabe to employees.",N,Open At All Times,No,None,,3708,174,3708174,true,,,,37.78975722,-122.4001579,POINT (-122.4001579 37.78975722)
650 California St,650 California St,Open at all times,Plaza,,,No,Yes,Yes,Indirect,,1965,,Y,Y,This open space is elevated with the street slope. A large art piece represents one entrance to the open space on California Street. This space surrounds the building and offers seating on the ledges of planter boxes.,N,Open At All Times,No,Yes,,0241,025,0241025,true,,,,37.79305037,-122.40520017,POINT (-122.40520017 37.79305037)
611 Folsom St,611 Folsom St,Open at all times,Plaza,"7 trees, 6 bushes on sidewalk. Interesting architectural elements and unconventional use of brick.",>200' deep brick ledge seating,No,No,No,Direct,,1965,,,Y,"Brick plaza with some trees, artwork and seating on brick structures.",,Open At All Times,No,None,,3750,087,3750087,,,,,37.78516765,-122.39673063,POINT (-122.39673063 37.78516765)
201 Mission St,201 Mission St,,Urban Garden,,,,,,Direct,,1960,,,,Initially hidden from street view there is seating along the building setback area to the right as you walk toward the door.,,Open At All Times,No,None,,3718,026,3718026,,,,,37.79096222,-122.39516089,POINT (-122.39516089 37.79096222)
1 Bush Street,1 Bush Street,Open at all times,Urban Garden,Willow Trees and planting. Interseting architectural design,None besides steps.,No,Yes,No,Indirect,Below street level,1959,,,,This Urban Garden provides a sunken space featuring a water fountain. Space is accessed with stairs from Bush Street and curved walkways from Market street.,N,Open At All Times,No,None,,0290,011,0290011,,,,,37.79098054,-122.40045257,POINT (-122.40045257 37.79098054)
222 2nd St,222 2nd St,"8AM - 6PM, M-F",Greenhouse,"No plants, but warm wood walls, striking art.","63 movable chairs, 15 tables, 300+ linear ft. of seating","Yes, cafe",Yes,Yes,Direct,Ground floor lobby,2016,,Y,Y,"An enclosed open space, with operable floor to ceiling windows and doors; located within the street-level lobby.",Y,Open Business Hours,Yes,yes,Wifi,3735,063,3735063,true,true,true,,37.78638,-122.39823,POINT (-122.39823 37.78638)
350 Mission St,350 Mission St,"8AM-5PM, M-F","Interior open space at ground level, specific type not specified in motion (Greenhouse?)",fake trees and grass indoors,35 linear bench seats + amphitheater seating (original estimate at 85 seats total),No,No,No,Direct,Lobby entrance,2011,,,Y,"An enclosed open space, with operable sliding glass doors that open up to street frontage; located within the street-level lobby.",,Open Business Hours,Yes,"Yes, outside at front door.",Amphitheater,3710,017,3710017,,true,true,,37.791,-122.396685,POINT (-122.396685 37.791)
Foundry Square SW (indoor),505 Howard St (200 1st St),"8AM - 6PM, M-F",Indoor Park,8 trees,"25 movable seats, 6 tables, 47 linear bench seats",Yes- Café,No,Yes,Direct,Near main building entrance facing the outdoor POPOS.,2008,,Y,Y,"Indoor park, with art garden, seating, and a café.",,Open Business Hours,Yes,Yes (2),Café area with wifi,3736,114,3736114,true,true,true,,37.7882,-122.3961,POINT (-122.3961 37.7882)
Foundry Square SW (outdoor),525 Howard St (200 1st St),"8AM - 6PM, M-F",Plaza,8 trees,"25 movable seats, 6 tables, 47 linear bench seats",Yes- Café,No,Yes,Direct,Near main building entrance facing the outdoor POPOS.,2008,,Y,Y,"Street level outdoor plaza with fixed and flexible seating, tables, and maple trees",,Open Business Hours,Yes,Yes (2),,3736,114,3736114,true,,,,37.7882,-122.3961,POINT (-122.3961 37.7882)
101 California St,101 California Street,Open at all times,Plaza,Beautifl terraced seating with abundant plantings,"~1000 linear ft. of seating on terraced steps, many cushions available",Yes,No,No,Direct,Street level plaza at California and Davis Streets.,1982,,Y,Y,,,Open At All Times,No,None,,0263,011,0263011,,,,,37.793249,-122.398,POINT (-122.398 37.793249)
Hampton Inn,942 Mission Street,"10AM-5PM, M-F",View Terrace,"6 empty planters, great views of skyline","Yes- 6 benches, with a capacity of 74 persons, 4 tables.",No,No,Yes,Indirect,"Accessible through elevator (check-in at front desk), located at the rooftop.",2015,,,Y,"Rooftop sun and view terrace, with 360 degree views of the city; with limited seating benches.",,Open Business Hours,Yes,Yes,,3704,015,3704015,true,,,,37.78219483,-122.407839,POINT (-122.407839 37.78219483)
181 Fremont,181 Fremont,8AM-6PM M-F,Indoor Park,"2 trees along wall, interesting paving","~20 movable seats around 6 tables. Some are high stools and tables, some are lounge seats around coffee tables.",Andytown Coffee,Sculpture outside.,Yes,Through lobby to 7th floor of building or from Salesforce Park.,,2015,,Y,Y,,,,Yes,"Yes. Code compliant signs on street, in elevator, in space.",,3719,450,3719450,true,true,,,37.789785,-122.395367,POINT (-122.395367 37.789785)
350 Bush St,350 Bush St,"7AM-6PM, M-F","Indoor park, snippet, view terrace",Yes - planters,Indoor seating and outdoors tables and chairs,No,,Yes,Direct,Two snippets and indoor park,2019,,,Y,Indoor park at 350 Bush. Snippets at 465 Pine. View Terrace (St Mary's Sq) at 500 Pine.,Y,Open Business Hours,Yes,"Yes at 350 Bush and 465 Pine, none at 500 Pine.",,0269,028,0269028,true,true,,,37.7911099,-122.40337084,POINT (-122.40337084 37.7911099)
